代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),成交额(百万),成交量(股)
SPX.GI,标普500,1927/12/30,17.66,17.66,17.66,17.66,0,0
SPX.GI,标普500,1928/1/2,17.66,17.66,17.66,17.66,0,0
SPX.GI,标普500,1928/1/3,17.76,17.76,17.76,17.76,0,0
SPX.GI,标普500,1928/1/4,17.72,17.72,17.72,17.72,0,0
SPX.GI,标普500,1928/1/5,17.55,17.55,17.55,17.55,0,0
SPX.GI,标普500,1928/1/6,17.66,17.66,17.66,17.66,0,0
SPX.GI,标普500,1928/1/9,17.5,17.5,17.5,17.5,0,0
SPX.GI,标普500,1928/1/10,17.37,17.37,17.37,17.37,0,0
SPX.GI,标普500,1928/1/11,17.35,17.35,17.35,17.35,0,0
SPX.GI,标普500,1928/1/12,17.47,17.47,17.47,17.47,0,0
SPX.GI,标普500,1928/1/13,17.58,17.58,17.58,17.58,0,0
SPX.GI,标普500,1928/1/16,17.29,17.29,17.29,17.29,0,0
SPX.GI,标普500,1928/1/17,17.3,17.3,17.3,17.3,0,0
SPX.GI,标普500,1928/1/18,17.26,17.26,17.26,17.26,0,0
SPX.GI,标普500,1928/1/19,17.38,17.38,17.38,17.38,0,0
SPX.GI,标普500,1928/1/20,17.48,17.48,17.48,17.48,0,0
SPX.GI,标普500,1928/1/23,17.64,17.64,17.64,17.64,0,0
SPX.GI,标普500,1928/1/24,17.71,17.71,17.71,17.71,0,0
SPX.GI,标普500,1928/1/25,17.52,17.52,17.52,17.52,0,0
SPX.GI,标普500,1928/1/26,17.63,17.63,17.63,17.63,0,0
SPX.GI,标普500,1928/1/27,17.69,17.69,17.69,17.69,0,0
SPX.GI,标普500,1928/1/30,17.49,17.49,17.49,17.49,0,0
SPX.GI,标普500,1928/1/31,17.57,17.57,17.57,17.57,0,0
SPX.GI,标普500,1928/2/1,17.53,17.53,17.53,17.53,0,0
SPX.GI,标普500,1928/2/2,17.63,17.63,17.63,17.63,0,0
SPX.GI,标普500,1928/2/3,17.4,17.4,17.4,17.4,0,0
SPX.GI,标普500,1928/2/6,17.45,17.45,17.45,17.45,0,0
SPX.GI,标普500,1928/2/7,17.44,17.44,17.44,17.44,0,0
SPX.GI,标普500,1928/2/8,17.49,17.49,17.49,17.49,0,0
SPX.GI,标普500,1928/2/9,17.55,17.55,17.55,17.55,0,0
SPX.GI,标普500,1928/2/10,17.54,17.54,17.54,17.54,0,0
SPX.GI,标普500,1928/2/14,17.44,17.44,17.44,17.44,0,0
SPX.GI,标普500,1928/2/15,17.4,17.4,17.4,17.4,0,0
SPX.GI,标普500,1928/2/16,17.35,17.35,17.35,17.35,0,0
SPX.GI,标普500,1928/2/17,17.04,17.04,17.04,17.04,0,0
SPX.GI,标普500,1928/2/20,16.95,16.95,16.95,16.95,0,0
SPX.GI,标普500,1928/2/21,17.11,17.11,17.11,17.11,0,0
SPX.GI,标普500,1928/2/23,17.13,17.13,17.13,17.13,0,0
SPX.GI,标普500,1928/2/24,17.18,17.18,17.18,17.18,0,0
SPX.GI,标普500,1928/2/27,17.11,17.11,17.11,17.11,0,0
SPX.GI,标普500,1928/2/28,17.16,17.16,17.16,17.16,0,0
SPX.GI,标普500,1928/2/29,17.26,17.26,17.26,17.26,0,0
SPX.GI,标普500,1928/3/1,17.3,17.3,17.3,17.3,0,0
SPX.GI,标普500,1928/3/2,17.3,17.3,17.3,17.3,0,0
SPX.GI,标普500,1928/3/5,17.57,17.57,17.57,17.57,0,0
SPX.GI,标普500,1928/3/6,17.67,17.67,17.67,17.67,0,0
SPX.GI,标普500,1928/3/7,17.58,17.58,17.58,17.58,0,0
SPX.GI,标普500,1928/3/8,17.64,17.64,17.64,17.64,0,0
SPX.GI,标普500,1928/3/9,17.93,17.93,17.93,17.93,0,0
SPX.GI,标普500,1928/3/12,18,18,18,18,0,0
SPX.GI,标普500,1928/3/13,17.92,17.92,17.92,17.92,0,0
SPX.GI,标普500,1928/3/14,17.93,17.93,17.93,17.93,0,0
SPX.GI,标普500,1928/3/15,18.07,18.07,18.07,18.07,0,0
SPX.GI,标普500,1928/3/16,18.26,18.26,18.26,18.26,0,0
SPX.GI,标普500,1928/3/19,18.36,18.36,18.36,18.36,0,0
SPX.GI,标普500,1928/3/20,18.46,18.46,18.46,18.46,0,0
SPX.GI,标普500,1928/3/21,18.65,18.65,18.65,18.65,0,0
SPX.GI,标普500,1928/3/22,18.6,18.6,18.6,18.6,0,0
SPX.GI,标普500,1928/3/23,18.78,18.78,18.78,18.78,0,0
SPX.GI,标普500,1928/3/26,19.05,19.05,19.05,19.05,0,0
SPX.GI,标普500,1928/3/27,18.94,18.94,18.94,18.94,0,0
SPX.GI,标普500,1928/3/28,18.89,18.89,18.89,18.89,0,0
SPX.GI,标普500,1928/3/29,18.95,18.95,18.95,18.95,0,0
SPX.GI,标普500,1928/3/30,19.28,19.28,19.28,19.28,0,0
SPX.GI,标普500,1928/4/2,18.91,18.91,18.91,18.91,0,0
SPX.GI,标普500,1928/4/3,19.02,19.02,19.02,19.02,0,0
SPX.GI,标普500,1928/4/4,18.99,18.99,18.99,18.99,0,0
SPX.GI,标普500,1928/4/5,19.23,19.23,19.23,19.23,0,0
SPX.GI,标普500,1928/4/9,19.27,19.27,19.27,19.27,0,0
SPX.GI,标普500,1928/4/10,19.1,19.1,19.1,19.1,0,0
SPX.GI,标普500,1928/4/11,19.44,19.44,19.44,19.44,0,0
SPX.GI,标普500,1928/4/12,19.41,19.41,19.41,19.41,0,0
SPX.GI,标普500,1928/4/13,19.73,19.73,19.73,19.73,0,0
SPX.GI,标普500,1928/4/16,19.68,19.68,19.68,19.68,0,0
SPX.GI,标普500,1928/4/17,19.52,19.52,19.52,19.52,0,0
SPX.GI,标普500,1928/4/18,19.52,19.52,19.52,19.52,0,0
SPX.GI,标普500,1928/4/19,19.63,19.63,19.63,19.63,0,0
SPX.GI,标普500,1928/4/20,19.34,19.34,19.34,19.34,0,0
SPX.GI,标普500,1928/4/23,19.15,19.15,19.15,19.15,0,0
SPX.GI,标普500,1928/4/24,19.25,19.25,19.25,19.25,0,0
SPX.GI,标普500,1928/4/25,19.33,19.33,19.33,19.33,0,0
SPX.GI,标普500,1928/4/26,19.47,19.47,19.47,19.47,0,0
SPX.GI,标普500,1928/4/27,19.68,19.68,19.68,19.68,0,0
SPX.GI,标普500,1928/4/30,19.75,19.75,19.75,19.75,0,0
SPX.GI,标普500,1928/5/1,19.78,19.78,19.78,19.78,0,0
SPX.GI,标普500,1928/5/2,19.83,19.83,19.83,19.83,0,0
SPX.GI,标普500,1928/5/3,19.93,19.93,19.93,19.93,0,0
SPX.GI,标普500,1928/5/4,20.24,20.24,20.24,20.24,0,0
SPX.GI,标普500,1928/5/7,20.41,20.41,20.41,20.41,0,0
SPX.GI,标普500,1928/5/8,20.27,20.27,20.27,20.27,0,0
SPX.GI,标普500,1928/5/9,20.24,20.24,20.24,20.24,0,0
SPX.GI,标普500,1928/5/10,20.21,20.21,20.21,20.21,0,0
SPX.GI,标普500,1928/5/11,20.36,20.36,20.36,20.36,0,0
SPX.GI,标普500,1928/5/14,20.44,20.44,20.44,20.44,0,0
SPX.GI,标普500,1928/5/15,20.39,20.39,20.39,20.39,0,0
SPX.GI,标普500,1928/5/16,20.05,20.05,20.05,20.05,0,0
SPX.GI,标普500,1928/5/17,20.12,20.12,20.12,20.12,0,0
SPX.GI,标普500,1928/5/18,19.92,19.92,19.92,19.92,0,0
SPX.GI,标普500,1928/5/21,19.63,19.63,19.63,19.63,0,0
SPX.GI,标普500,1928/5/22,19.36,19.36,19.36,19.36,0,0
SPX.GI,标普500,1928/5/23,19.75,19.75,19.75,19.75,0,0
SPX.GI,标普500,1928/5/24,19.87,19.87,19.87,19.87,0,0
SPX.GI,标普500,1928/5/25,19.9,19.9,19.9,19.9,0,0
SPX.GI,标普500,1928/5/28,19.57,19.57,19.57,19.57,0,0
